timezone,temp,humidity,description
2025-02-19 05:40:42,0.76,29,clear sky
2025-02-19 05:41:23,0.76,29,clear sky
2025-02-19 05:43:34,0.76,29,clear sky
2025-02-19 14:50:37.464485,0.76,29,clear sky
2025-02-19 14:53:12.848537,0.76,29,clear sky
2025-02-19 15:09:50.825603,-0.13,18,clear sky
2025-02-19 15:41:49.726409,1.76,25,clear sky
2025-02-19 15:51:38.110672,1.76,25,clear sky
2025-02-19 16:26:10.162863,0.76,25,clear sky
2025-02-19 16:38:50.190035,0.76,25,clear sky
2025-02-19 16:48:34.240565,0.76,25,clear sky
2025-02-19 16:58:15.387375,0.76,25,clear sky
